"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","93,400.0","93,200.0","94,500.0","91,400.0","7.41M","0.43%"
"09/30/2025","93,000.0","95,500.0","95,800.0","92,800.0","12.02M","-2.62%"
"09/29/2025","95,500.0","97,800.0","97,800.0","95,500.0","10.43M","-2.05%"
"09/26/2025","97,500.0","98,200.0","99,300.0","97,400.0","8.08M","-0.51%"
"09/25/2025","98,000.0","99,500.0","99,500.0","97,900.0","8.63M","-1.51%"
"09/24/2025","99,500.0","98,100.0","99,500.0","97,400.0","7.42M","1.53%"
"09/23/2025","98,000.0","100,000.0","100,000.0","97,500.0","18.29M","-1.71%"
"09/22/2025","99,700.0","102,500.0","102,700.0","99,600.0","16.28M","-3.20%"
"09/19/2025","103,000.0","103,800.0","103,800.0","100,500.0","23.51M","0.00%"
"09/18/2025","103,000.0","106,000.0","106,300.0","103,000.0","8.20M","-2.37%"
"09/17/2025","105,500.0","104,000.0","107,800.0","104,000.0","20.02M","1.93%"
"09/16/2025","103,500.0","102,700.0","104,800.0","102,000.0","17.53M","1.57%"
"09/15/2025","101,900.0","101,900.0","103,500.0","101,500.0","14.12M","0.30%"
"09/12/2025","101,600.0","102,000.0","102,900.0","101,100.0","7.45M","-0.39%"
"09/11/2025","102,000.0","101,200.0","102,900.0","100,500.0","7.41M","0.79%"
"09/10/2025","101,200.0","102,100.0","102,900.0","101,100.0","5.50M","-0.88%"
"09/09/2025","102,100.0","102,000.0","103,000.0","101,000.0","6.46M","0.20%"
"09/08/2025","101,900.0","103,000.0","103,900.0","101,900.0","10.60M","-1.45%"
"09/05/2025","103,400.0","105,200.0","105,500.0","103,400.0","8.81M","-1.52%"
"09/04/2025","105,000.0","103,300.0","105,500.0","103,200.0","11.03M","1.74%"
"09/03/2025","103,200.0","102,000.0","103,300.0","100,000.0","9.74M","1.57%"
"08/29/2025","101,600.0","105,000.0","105,000.0","101,600.0","11.09M","-2.78%"
"08/28/2025","104,500.0","105,100.0","105,100.0","102,800.0","6.28M","-0.48%"
"08/27/2025","105,000.0","101,400.0","105,100.0","101,200.0","19.44M","5.00%"
"08/26/2025","100,000.0","98,800.0","100,000.0","97,900.0","5.81M","1.21%"
"08/25/2025","98,800.0","102,000.0","102,000.0","98,800.0","6.74M","-0.20%"
"08/22/2025","99,000.0","101,600.0","101,600.0","98,800.0","7.21M","-2.65%"
"08/21/2025","101,700.0","97,700.0","102,900.0","97,700.0","12.62M","4.09%"
"08/20/2025","97,700.0","100,100.0","100,300.0","97,500.0","19.97M","-2.59%"
"08/19/2025","100,300.0","100,600.0","101,500.0","100,000.0","9.15M","-0.20%"
"08/18/2025","100,500.0","101,400.0","103,000.0","100,000.0","11.39M","-0.89%"
"08/15/2025","101,400.0","103,800.0","104,800.0","101,300.0","18.62M","-2.31%"
"08/14/2025","103,800.0","105,800.0","105,800.0","103,700.0","17.91M","-1.24%"
"08/13/2025","105,100.0","107,600.0","107,800.0","104,900.0","21.85M","-2.23%"
"08/12/2025","107,500.0","107,400.0","108,200.0","106,600.0","11.01M","1.03%"
"08/11/2025","106,400.0","105,900.0","109,500.0","105,300.0","10.28M","0.76%"
"08/08/2025","105,600.0","106,500.0","107,400.0","104,800.0","9.18M","-0.56%"
"08/07/2025","106,200.0","105,600.0","107,400.0","104,900.0","9.57M","1.24%"
"08/06/2025","104,900.0","106,000.0","106,200.0","104,500.0","11.81M","-0.85%"
"08/05/2025","105,800.0","107,000.0","108,700.0","105,000.0","11.40M","-0.75%"
"08/04/2025","106,600.0","106,500.0","106,600.0","104,800.0","4.62M","-0.37%"
"08/01/2025","107,000.0","103,700.0","107,400.0","101,500.0","10.89M","2.88%"
"07/31/2025","104,000.0","106,100.0","106,900.0","103,800.0","8.94M","-1.98%"
"07/30/2025","106,100.0","107,000.0","108,000.0","105,300.0","7.49M","0.09%"
"07/29/2025","106,000.0","111,300.0","111,600.0","106,000.0","16.06M","-4.76%"
"07/28/2025","111,300.0","110,800.0","111,600.0","110,500.0","7.61M","0.54%"
"07/25/2025","110,700.0","111,100.0","111,500.0","110,500.0","5.14M","-0.36%"
"07/24/2025","111,100.0","112,000.0","112,100.0","110,800.0","6.42M","-0.63%"
"07/23/2025","111,800.0","112,300.0","112,800.0","111,300.0","4.80M","-0.27%"
"07/22/2025","112,100.0","110,300.0","112,200.0","108,700.0","6.89M","1.63%"
"07/21/2025","110,300.0","112,400.0","112,400.0","110,300.0","7.56M","0.67%"
"07/18/2025","109,565.2","111,304.3","111,304.3","109,565.2","7.47M","-0.79%"
"07/17/2025","110,434.8","110,173.9","112,260.8","109,565.2","9.58M","0.55%"
"07/16/2025","109,826.1","110,173.9","110,434.8","108,782.6","5.82M","0.24%"
"07/15/2025","109,565.2","110,086.9","111,130.4","109,565.2","6.44M","-0.87%"
"07/14/2025","110,521.7","110,608.7","111,217.4","108,695.6","6.88M","0.39%"
"07/11/2025","110,086.9","108,695.6","111,304.3","108,347.8","12.35M","2.18%"
"07/10/2025","107,739.1","107,652.1","108,956.5","107,391.3","5.96M","0.90%"
"07/09/2025","106,782.6","108,521.7","108,608.7","106,347.8","14.03M","-1.37%"
"07/08/2025","108,260.8","107,913.0","109,304.3","107,826.1","9.27M","0.57%"
"07/07/2025","107,652.1","107,217.4","108,434.8","106,956.5","7.34M","1.06%"
"07/04/2025","106,521.7","103,043.5","107,304.3","102,956.5","14.75M","3.81%"
"07/03/2025","102,608.7","103,043.5","104,173.9","102,434.8","7.25M","-0.51%"
"07/02/2025","103,130.4","103,043.5","103,217.4","102,260.8","4.21M","-0.17%"
"07/01/2025","103,304.3","103,478.2","103,913.0","102,782.6","5.30M","0.51%"
"06/30/2025","102,782.6","102,521.7","103,913.0","102,260.8","7.89M","0.77%"
"06/27/2025","102,000.0","101,739.1","102,869.5","101,652.1","6.05M","0.26%"
"06/26/2025","101,739.1","102,608.7","102,869.5","101,391.3","4.75M","-0.09%"
"06/25/2025","101,826.1","101,739.1","103,826.1","101,739.1","6.90M","0.52%"
"06/24/2025","101,304.3","101,130.4","101,739.1","101,130.4","4.91M","0.52%"
"06/23/2025","100,782.6","100,434.8","101,130.4","99,565.2","5.28M","-0.17%"
"06/20/2025","100,956.5","100,956.5","101,652.1","100,695.6","4.99M","0.09%"
"06/19/2025","100,869.5","101,739.1","101,826.1","100,608.7","6.22M","-0.85%"
"06/18/2025","101,739.1","103,304.3","103,913.0","101,217.4","7.54M","-1.52%"
"06/17/2025","103,304.3","103,478.2","103,739.1","102,782.6","5.29M","-0.17%"
"06/16/2025","103,478.2","100,086.9","104,173.9","100,000.0","9.28M","3.12%"
"06/13/2025","100,347.8","100,869.5","101,304.3","99,913.0","7.09M","-1.37%"
"06/12/2025","101,739.1","102,260.8","102,347.8","101,304.3","4.78M","0.09%"
"06/11/2025","101,652.1","100,100.2","101,910.8","100,100.2","6.61M","1.90%"
"06/10/2025","99,755.3","100,876.2","101,221.0","99,755.3","3.86M","-0.43%"
"06/09/2025","100,186.4","99,582.9","100,789.9","99,151.8","3.51M","1.04%"
"06/06/2025","99,151.8","100,703.7","100,703.7","99,151.8","6.19M","-1.54%"
"06/05/2025","100,703.7","100,962.4","101,134.8","100,445.1","2.65M","-0.26%"
"06/04/2025","100,962.4","101,738.3","101,910.8","100,445.1","3.30M","-0.26%"
"06/03/2025","101,221.0","100,617.5","101,738.3","100,272.6","3.91M","1.12%"
"06/02/2025","100,100.2","100,445.1","100,962.4","99,669.1","3.35M","-0.34%"
"05/30/2025","100,445.1","101,738.3","101,910.8","100,445.1","4.64M","-0.51%"
"05/29/2025","100,962.4","102,600.5","102,600.5","100,962.4","3.37M","-1.10%"
"05/28/2025","102,083.2","102,773.0","102,945.4","101,307.3","4.52M","-0.50%"
"05/27/2025","102,600.5","101,221.0","102,945.4","101,221.0","6.32M","1.45%"
"05/26/2025","101,134.8","100,617.5","101,565.9","99,151.8","4.63M","0.17%"
"05/23/2025","100,962.4","100,617.5","101,565.9","100,014.0","5.11M","0.26%"
"05/22/2025","100,703.7","100,962.4","101,393.5","99,669.1","7.30M","-1.27%"
"05/21/2025","101,997.0","103,462.7","103,462.7","100,876.2","6.93M","-0.76%"
"05/20/2025","102,773.0","100,703.7","102,859.2","100,703.7","9.10M","0.85%"
"05/19/2025","101,910.8","102,428.1","103,893.8","100,531.3","11.40M","-2.31%"
"05/16/2025","104,324.9","107,342.6","107,515.0","104,238.7","9.21M","-3.20%"
"05/15/2025","107,773.7","109,067.0","109,411.8","106,566.6","8.98M","-1.03%"
"05/14/2025","108,894.5","103,462.7","108,894.5","103,462.7","13.89M","5.69%"
"05/13/2025","103,031.6","103,462.7","103,721.4","102,255.7","9.85M","1.01%"
"05/12/2025","101,997.0","100,876.2","102,341.9","100,617.5","10.02M","1.98%"
"05/09/2025","100,014.0","98,548.2","100,358.8","97,858.5","9.77M","1.49%"
"05/08/2025","98,548.2","95,185.7","98,806.9","93,978.6","14.54M","4.19%"
"05/07/2025","94,582.2","94,496.0","95,875.5","93,892.4","4.52M","0.00%"
"05/06/2025","94,582.2","93,633.8","95,703.0","93,633.8","6.54M","1.01%"
"05/05/2025","93,633.8","94,409.7","94,582.2","92,168.0","8.24M","-0.73%"
"04/29/2025","94,323.5","94,496.0","95,271.9","94,064.9","3.39M","-0.09%"
"04/28/2025","94,409.7","96,565.2","96,910.1","94,151.1","4.43M","-2.58%"
"04/25/2025","96,910.1","96,565.2","96,910.1","95,013.3","6.19M","0.36%"
"04/24/2025","96,565.2","96,134.1","98,030.9","95,358.1","8.90M","1.45%"
"04/23/2025","95,185.7","96,306.5","96,306.5","92,857.8","6.57M","0.00%"
"04/22/2025","95,185.7","95,703.0","95,875.5","89,667.7","10.50M","-1.16%"
