"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","28,300.0","28,300.0","28,500.0","28,100.0","29.85M","0.53%"
"09/30/2025","28,150.0","28,550.0","28,600.0","27,900.0","53.74M","-1.57%"
"09/29/2025","28,600.0","28,550.0","28,900.0","28,400.0","38.83M","0.18%"
"09/26/2025","28,550.0","28,850.0","29,200.0","28,550.0","38.13M","-0.87%"
"09/25/2025","28,800.0","29,150.0","29,300.0","28,750.0","34.44M","-0.86%"
"09/24/2025","29,050.0","28,650.0","29,050.0","28,250.0","30.74M","1.40%"
"09/23/2025","28,650.0","28,550.0","28,850.0","28,450.0","24.90M","0.88%"
"09/22/2025","28,400.0","29,250.0","29,250.0","28,300.0","66.07M","-2.91%"
"09/19/2025","29,250.0","29,300.0","29,400.0","28,800.0","45.02M","0.34%"
"09/18/2025","29,150.0","29,350.0","29,400.0","28,600.0","75.69M","-0.17%"
"09/17/2025","29,200.0","29,900.0","30,250.0","29,200.0","124.42M","-2.50%"
"09/16/2025","29,950.0","30,550.0","30,550.0","29,750.0","66.86M","-1.32%"
"09/15/2025","30,350.0","30,250.0","30,850.0","30,100.0","88.92M","1.17%"
"09/12/2025","30,000.0","29,200.0","30,100.0","29,150.0","104.62M","2.92%"
"09/11/2025","29,150.0","28,700.0","29,200.0","28,000.0","71.78M","1.04%"
"09/10/2025","28,850.0","28,850.0","29,200.0","28,400.0","52.46M","0.00%"
"09/09/2025","28,850.0","29,200.0","29,250.0","28,200.0","73.86M","-0.17%"
"09/08/2025","28,900.0","28,700.0","29,750.0","28,650.0","141.77M","0.35%"
"09/05/2025","28,800.0","30,000.0","30,100.0","28,800.0","95.26M","-3.52%"
"09/04/2025","29,850.0","28,450.0","29,900.0","28,350.0","141.44M","6.04%"
"09/03/2025","28,150.0","27,400.0","29,000.0","27,250.0","119.14M","2.36%"
"08/29/2025","27,500.0","27,200.0","27,850.0","27,050.0","81.74M","1.48%"
"08/28/2025","27,100.0","26,950.0","27,500.0","26,850.0","63.17M","1.31%"
"08/27/2025","26,750.0","27,250.0","27,250.0","26,750.0","85.99M","-1.65%"
"08/26/2025","27,200.0","26,100.0","27,200.0","26,100.0","51.99M","4.82%"
"08/25/2025","25,950.0","26,500.0","26,750.0","25,850.0","68.32M","-0.19%"
"08/22/2025","26,000.0","26,950.0","27,100.0","26,000.0","132.31M","-5.11%"
"08/21/2025","27,400.0","27,450.0","27,800.0","27,300.0","69.98M","0.00%"
"08/20/2025","27,400.0","28,200.0","28,250.0","27,050.0","101.01M","-2.66%"
"08/19/2025","28,150.0","28,600.0","28,700.0","28,100.0","63.02M","-0.88%"
"08/18/2025","28,400.0","28,300.0","28,800.0","28,200.0","69.04M","1.43%"
"08/15/2025","28,000.0","28,450.0","28,800.0","27,850.0","107.93M","-0.71%"
"08/14/2025","28,200.0","28,200.0","28,450.0","28,000.0","76.05M","0.36%"
"08/13/2025","28,100.0","28,550.0","28,600.0","27,850.0","79.77M","-1.40%"
"08/12/2025","28,500.0","28,350.0","29,100.0","28,150.0","84.20M","1.24%"
"08/11/2025","28,150.0","28,150.0","28,450.0","27,800.0","67.22M","0.54%"
"08/08/2025","28,000.0","28,600.0","28,650.0","27,600.0","121.06M","-1.75%"
"08/07/2025","28,500.0","27,350.0","28,550.0","27,000.0","139.12M","5.17%"
"08/06/2025","27,100.0","26,750.0","27,700.0","26,650.0","96.17M","2.65%"
"08/05/2025","26,400.0","25,450.0","27,050.0","25,450.0","216.00M","4.35%"
"08/04/2025","25,300.0","25,100.0","25,450.0","24,950.0","37.06M","0.60%"
"08/01/2025","25,150.0","24,850.0","25,300.0","24,800.0","50.80M","0.80%"
"07/31/2025","24,950.0","25,450.0","25,600.0","24,750.0","85.33M","-1.77%"
"07/30/2025","25,400.0","25,600.0","25,750.0","25,100.0","50.19M","0.20%"
"07/29/2025","25,350.0","26,450.0","26,600.0","25,350.0","82.60M","-3.80%"
"07/28/2025","26,350.0","26,100.0","26,850.0","26,000.0","99.59M","1.15%"
"07/25/2025","26,050.0","26,000.0","26,300.0","25,900.0","51.08M","0.19%"
"07/24/2025","26,000.0","26,400.0","26,450.0","25,900.0","51.91M","-1.52%"
"07/23/2025","26,400.0","26,550.0","26,950.0","26,400.0","43.12M","-0.19%"
"07/22/2025","26,450.0","26,150.0","26,450.0","26,000.0","31.50M","0.95%"
"07/21/2025","26,200.0","26,400.0","27,000.0","26,100.0","55.77M","1.16%"
"07/18/2025","25,900.0","26,000.0","26,100.0","25,750.0","40.72M","-0.38%"
"07/17/2025","26,000.0","26,200.0","26,350.0","25,900.0","56.23M","-0.38%"
"07/16/2025","26,100.0","25,450.0","26,200.0","25,400.0","45.89M","2.35%"
"07/15/2025","25,500.0","25,800.0","26,000.0","25,500.0","46.51M","-0.97%"
"07/14/2025","25,750.0","26,200.0","26,450.0","25,550.0","49.44M","-0.96%"
"07/11/2025","26,000.0","25,250.0","26,250.0","25,050.0","65.29M","3.38%"
"07/10/2025","25,150.0","24,850.0","25,200.0","24,550.0","85.28M","1.62%"
"07/09/2025","24,750.0","24,800.0","25,100.0","24,600.0","43.46M","0.20%"
"07/08/2025","24,700.0","23,650.0","24,800.0","23,550.0","77.48M","4.66%"
"07/07/2025","23,600.0","23,700.0","23,700.0","23,400.0","36.00M","1.51%"
"07/04/2025","23,250.0","23,150.0","23,250.0","23,100.0","19.40M","0.65%"
"07/03/2025","23,100.0","23,000.0","23,650.0","23,000.0","42.51M","0.87%"
"07/02/2025","22,900.0","22,650.0","22,900.0","22,550.0","18.90M","1.10%"
