Date,Price,Open,High,Low,Vol.,Change %
10/1/2025,"33,700.00","34,000.00","34,000.00","33,350.00",3.01M,-0.30%
9/30/2025,"33,800.00","34,300.00","34,900.00","33,550.00",8.40M,-1.31%
9/29/2025,"34,250.00","34,650.00","34,950.00","34,000.00",2.80M,-0.72%
9/26/2025,"34,500.00","33,650.00","35,000.00","33,650.00",10.13M,2.37%
9/25/2025,"33,700.00","34,050.00","34,350.00","33,550.00",6.27M,-0.74%
9/24/2025,"33,950.00","33,550.00","34,150.00","33,350.00",4.29M,1.65%
9/23/2025,"33,400.00","34,300.00","34,300.00","33,400.00",2.94M,-1.76%
9/22/2025,"34,000.00","34,100.00","34,650.00","33,100.00",5.62M,-0.87%
9/19/2025,"34,300.00","33,600.00","34,300.00","33,300.00",3.27M,2.69%
9/18/2025,"33,400.00","33,700.00","33,750.00","33,050.00",3.32M,-0.30%
9/17/2025,"33,500.00","34,350.00","34,400.00","33,500.00",3.92M,-2.33%
9/16/2025,"34,300.00","35,100.00","35,100.00","34,200.00",4.37M,-1.58%
9/15/2025,"34,850.00","34,600.00","35,100.00","34,600.00",3.29M,0.14%
9/12/2025,"34,800.00","35,000.00","35,500.00","34,700.00",3.36M,-0.57%
9/11/2025,"35,000.00","34,400.00","35,000.00","33,300.00",6.15M,0.86%
9/10/2025,"34,700.00","34,900.00","35,050.00","34,500.00",3.20M,-0.29%
9/9/2025,"34,800.00","35,000.00","35,150.00","34,600.00",4.22M,0.00%
9/8/2025,"34,800.00","35,150.00","36,100.00","34,300.00",7.43M,-1.83%
9/5/2025,"35,450.00","36,950.00","37,500.00","35,450.00",12.75M,-3.54%
9/4/2025,"36,750.00","37,100.00","37,600.00","36,550.00",5.23M,-0.68%
9/3/2025,"37,000.00","36,600.00","38,100.00","36,550.00",7.77M,1.37%
8/29/2025,"36,500.00","36,000.00","37,250.00","35,600.00",9.34M,1.67%
8/28/2025,"35,900.00","36,100.00","36,150.00","35,100.00",4.96M,-0.28%
8/27/2025,"36,000.00","35,500.00","37,600.00","35,150.00",10.33M,1.41%
8/26/2025,"35,500.00","33,600.00","35,500.00","33,450.00",4.91M,5.50%
8/25/2025,"33,650.00","34,450.00","34,500.00","32,900.00",6.23M,-1.03%
8/22/2025,"34,000.00","35,250.00","35,800.00","33,600.00",8.56M,-5.29%
8/21/2025,"35,900.00","36,200.00","36,400.00","35,000.00",12.62M,-1.64%
8/20/2025,"36,500.00","36,800.00","36,800.00","34,300.00",9.42M,-0.82%
8/19/2025,"36,800.00","37,000.00","37,300.00","36,350.00",9.37M,-0.54%
