"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","83,400.0","83,400.0","84,000.0","83,400.0","468.90K","0.36%"
"09/30/2025","83,100.0","83,500.0","84,400.0","83,100.0","268.10K","-0.48%"
"09/29/2025","83,500.0","85,000.0","85,000.0","83,400.0","285.80K","-1.42%"
"09/26/2025","84,700.0","85,500.0","85,900.0","84,500.0","448.40K","-0.12%"
"09/25/2025","84,800.0","86,275.7","86,374.0","84,800.0","766.90K","-1.60%"
"09/24/2025","86,177.3","86,472.4","86,472.4","85,095.2","168.70K","-0.34%"
"09/23/2025","86,472.4","86,374.0","86,570.8","84,800.0","346.00K","0.00%"
"09/22/2025","86,472.4","87,554.6","88,243.2","85,587.0","464.80K","-0.68%"
"09/19/2025","87,062.7","87,554.6","87,554.6","86,472.4","437.80K","-1.18%"
"09/18/2025","88,100.0","88,000.0","89,200.0","87,500.0","426.00K","1.15%"
"09/17/2025","87,100.0","88,700.0","90,500.0","87,100.0","618.20K","-1.80%"
"09/16/2025","88,700.0","88,200.0","89,900.0","87,900.0","679.70K","0.57%"
"09/15/2025","88,200.0","88,000.0","88,200.0","87,300.0","485.20K","0.23%"
"09/12/2025","88,000.0","86,500.0","88,700.0","86,100.0","764.10K","2.09%"
"09/11/2025","86,200.0","86,500.0","86,500.0","85,200.0","458.10K","0.00%"
"09/10/2025","86,200.0","85,700.0","86,500.0","85,100.0","357.00K","0.58%"
"09/09/2025","85,700.0","85,600.0","85,800.0","84,500.0","432.30K","1.06%"
"09/08/2025","84,800.0","86,500.0","87,200.0","84,800.0","749.50K","-2.75%"
"09/05/2025","87,200.0","88,600.0","88,600.0","87,200.0","620.80K","-1.36%"
"09/04/2025","88,400.0","86,800.0","89,400.0","86,300.0","1.62M","2.43%"
"09/03/2025","86,300.0","85,600.0","86,600.0","85,100.0","659.00K","0.82%"
"08/29/2025","85,600.0","85,600.0","85,900.0","85,400.0","677.70K","0.00%"
"08/28/2025","85,600.0","85,300.0","86,000.0","85,100.0","688.50K","0.35%"
"08/27/2025","85,300.0","86,900.0","86,900.0","84,900.0","1.32M","1.31%"
"08/26/2025","84,200.0","82,900.0","84,400.0","82,900.0","383.40K","0.84%"
"08/25/2025","83,500.0","84,900.0","85,500.0","83,500.0","533.90K","-1.53%"
"08/22/2025","84,800.0","86,000.0","86,000.0","84,300.0","878.10K","-0.93%"
"08/21/2025","85,600.0","85,300.0","85,700.0","84,600.0","670.70K","0.35%"
"08/20/2025","85,300.0","85,100.0","85,600.0","84,500.0","964.90K","0.47%"
"08/19/2025","84,900.0","85,000.0","85,300.0","84,600.0","680.00K","-0.12%"
"08/18/2025","85,000.0","86,200.0","86,300.0","84,400.0","1.04M","-1.39%"
"08/15/2025","86,200.0","88,000.0","88,000.0","86,000.0","808.80K","-2.05%"
"08/14/2025","88,000.0","88,000.0","88,200.0","86,400.0","789.70K","0.00%"
"08/13/2025","88,000.0","87,500.0","89,100.0","86,900.0","1.13M","0.57%"
"08/12/2025","87,500.0","86,500.0","87,500.0","86,500.0","777.80K","1.16%"
"08/11/2025","86,500.0","86,300.0","87,000.0","86,000.0","518.40K","0.82%"
"08/08/2025","85,800.0","87,000.0","87,000.0","85,700.0","752.90K","-0.69%"
"08/07/2025","86,400.0","86,500.0","87,900.0","86,200.0","551.70K","0.12%"
"08/06/2025","86,300.0","85,500.0","86,600.0","85,500.0","446.60K","0.94%"
