Date,Price,Open,High,Low,Vol.,Change %,Ticker
10/1/2025,"93,400.00","93,200.00","94,500.00","91,400.00",7.41M,0.43%,FPT
9/30/2025,"93,000.00","95,500.00","95,800.00","92,800.00",12.02M,-2.62%,FPT
9/29/2025,"95,500.00","97,800.00","97,800.00","95,500.00",10.43M,-2.05%,FPT
9/26/2025,"97,500.00","98,200.00","99,300.00","97,400.00",8.08M,-0.51%,FPT
9/25/2025,"98,000.00","99,500.00","99,500.00","97,900.00",8.63M,-1.51%,FPT
9/24/2025,"99,500.00","98,100.00","99,500.00","97,400.00",7.42M,1.53%,FPT
9/23/2025,"98,000.00","100,000.00","100,000.00","97,500.00",18.29M,-1.71%,FPT
9/22/2025,"99,700.00","102,500.00","102,700.00","99,600.00",16.28M,-3.20%,FPT
9/19/2025,"103,000.00","103,800.00","103,800.00","100,500.00",23.51M,0.00%,FPT
9/18/2025,"103,000.00","106,000.00","106,300.00","103,000.00",8.20M,-2.37%,FPT
9/17/2025,"105,500.00","104,000.00","107,800.00","104,000.00",20.02M,1.93%,FPT
9/16/2025,"103,500.00","102,700.00","104,800.00","102,000.00",17.53M,1.57%,FPT
9/15/2025,"101,900.00","101,900.00","103,500.00","101,500.00",14.12M,0.30%,FPT
9/12/2025,"101,600.00","102,000.00","102,900.00","101,100.00",7.45M,-0.39%,FPT
9/11/2025,"102,000.00","101,200.00","102,900.00","100,500.00",7.41M,0.79%,FPT
9/10/2025,"101,200.00","102,100.00","102,900.00","101,100.00",5.50M,-0.88%,FPT
9/9/2025,"102,100.00","102,000.00","103,000.00","101,000.00",6.46M,0.20%,FPT
9/8/2025,"101,900.00","103,000.00","103,900.00","101,900.00",10.60M,-1.45%,FPT
9/5/2025,"103,400.00","105,200.00","105,500.00","103,400.00",8.81M,-1.52%,FPT
9/4/2025,"105,000.00","103,300.00","105,500.00","103,200.00",11.03M,1.74%,FPT
9/3/2025,"103,200.00","102,000.00","103,300.00","100,000.00",9.74M,1.57%,FPT
8/29/2025,"101,600.00","105,000.00","105,000.00","101,600.00",11.09M,-2.78%,FPT
8/28/2025,"104,500.00","105,100.00","105,100.00","102,800.00",6.28M,-0.48%,FPT
8/27/2025,"105,000.00","101,400.00","105,100.00","101,200.00",19.44M,5.00%,FPT
8/26/2025,"100,000.00","98,800.00","100,000.00","97,900.00",5.81M,1.21%,FPT
8/25/2025,"98,800.00","102,000.00","102,000.00","98,800.00",6.74M,-0.20%,FPT
8/22/2025,"99,000.00","101,600.00","101,600.00","98,800.00",7.21M,-2.65%,FPT
8/21/2025,"101,700.00","97,700.00","102,900.00","97,700.00",12.62M,4.09%,FPT
8/20/2025,"97,700.00","100,100.00","100,300.00","97,500.00",19.97M,-2.59%,FPT
8/19/2025,"100,300.00","100,600.00","101,500.00","100,000.00",9.15M,-0.20%,FPT
8/18/2025,"100,500.00","101,400.00","103,000.00","100,000.00",11.39M,-0.89%,FPT
8/15/2025,"101,400.00","103,800.00","104,800.00","101,300.00",18.62M,-2.31%,FPT
8/14/2025,"103,800.00","105,800.00","105,800.00","103,700.00",17.91M,-1.24%,FPT
8/13/2025,"105,100.00","107,600.00","107,800.00","104,900.00",21.85M,-2.23%,FPT
8/12/2025,"107,500.00","107,400.00","108,200.00","106,600.00",11.01M,1.03%,FPT
8/11/2025,"106,400.00","105,900.00","109,500.00","105,300.00",10.28M,0.76%,FPT
8/8/2025,"105,600.00","106,500.00","107,400.00","104,800.00",9.18M,-0.56%,FPT
8/7/2025,"106,200.00","105,600.00","107,400.00","104,900.00",9.57M,1.24%,FPT
8/6/2025,"104,900.00","106,000.00","106,200.00","104,500.00",11.81M,-0.85%,FPT
8/5/2025,"105,800.00","107,000.00","108,700.00","105,000.00",11.40M,-0.75%,FPT
8/4/2025,"106,600.00","106,500.00","106,600.00","104,800.00",4.62M,-0.37%,FPT
8/1/2025,"107,000.00","103,700.00","107,400.00","101,500.00",10.89M,2.88%,FPT
7/31/2025,"104,000.00","106,100.00","106,900.00","103,800.00",8.94M,-1.98%,FPT
7/30/2025,"106,100.00","107,000.00","108,000.00","105,300.00",7.49M,0.09%,FPT
7/29/2025,"106,000.00","111,300.00","111,600.00","106,000.00",16.06M,-4.76%,FPT
7/28/2025,"111,300.00","110,800.00","111,600.00","110,500.00",7.61M,0.54%,FPT
7/25/2025,"110,700.00","111,100.00","111,500.00","110,500.00",5.14M,-0.36%,FPT
7/24/2025,"111,100.00","112,000.00","112,100.00","110,800.00",6.42M,-0.63%,FPT
7/23/2025,"111,800.00","112,300.00","112,800.00","111,300.00",4.80M,-0.27%,FPT
7/22/2025,"112,100.00","110,300.00","112,200.00","108,700.00",6.89M,1.63%,FPT
7/21/2025,"110,300.00","112,400.00","112,400.00","110,300.00",7.56M,0.67%,FPT
7/18/2025,"109,565.20","111,304.30","111,304.30","109,565.20",7.47M,-0.79%,FPT
7/17/2025,"110,434.80","110,173.90","112,260.80","109,565.20",9.58M,0.55%,FPT
7/16/2025,"109,826.10","110,173.90","110,434.80","108,782.60",5.82M,0.24%,FPT
7/15/2025,"109,565.20","110,086.90","111,130.40","109,565.20",6.44M,-0.87%,FPT
7/14/2025,"110,521.70","110,608.70","111,217.40","108,695.60",6.88M,0.39%,FPT
7/11/2025,"110,086.90","108,695.60","111,304.30","108,347.80",12.35M,2.18%,FPT
7/10/2025,"107,739.10","107,652.10","108,956.50","107,391.30",5.96M,0.90%,FPT
7/9/2025,"106,782.60","108,521.70","108,608.70","106,347.80",14.03M,-1.37%,FPT
7/8/2025,"108,260.80","107,913.00","109,304.30","107,826.10",9.27M,0.57%,FPT
7/7/2025,"107,652.10","107,217.40","108,434.80","106,956.50",7.34M,1.06%,FPT
7/4/2025,"106,521.70","103,043.50","107,304.30","102,956.50",14.75M,3.81%,FPT
7/3/2025,"102,608.70","103,043.50","104,173.90","102,434.80",7.25M,-0.51%,FPT
7/2/2025,"103,130.40","103,043.50","103,217.40","102,260.80",4.21M,-0.17%,FPT
7/1/2025,"103,304.30","103,478.20","103,913.00","102,782.60",5.30M,0.51%,FPT
6/30/2025,"102,782.60","102,521.70","103,913.00","102,260.80",7.89M,0.77%,FPT
6/27/2025,"102,000.00","101,739.10","102,869.50","101,652.10",6.05M,0.26%,FPT
6/26/2025,"101,739.10","102,608.70","102,869.50","101,391.30",4.75M,-0.09%,FPT
