Date,Price,Open,High,Low,Vol.,Change %,Ticker
10/1/2025,"93,400.00","93,200.00","94,500.00","91,400.00",7410000.0,0.43%,FPT
9/30/2025,"93,000.00","95,500.00","95,800.00","92,800.00",12020000.0,-2.62%,FPT
9/29/2025,"95,500.00","97,800.00","97,800.00","95,500.00",10430000.0,-2.05%,FPT
9/26/2025,"97,500.00","98,200.00","99,300.00","97,400.00",8080000.0,-0.51%,FPT
9/25/2025,"98,000.00","99,500.00","99,500.00","97,900.00",8630000.0,-1.51%,FPT
9/24/2025,"99,500.00","98,100.00","99,500.00","97,400.00",7420000.0,1.53%,FPT
9/23/2025,"98,000.00","100,000.00","100,000.00","97,500.00",18290000.0,-1.71%,FPT
9/22/2025,"99,700.00","102,500.00","102,700.00","99,600.00",16280000.0,-3.20%,FPT
9/19/2025,"103,000.00","103,800.00","103,800.00","100,500.00",23510000.0,0.00%,FPT
9/18/2025,"103,000.00","106,000.00","106,300.00","103,000.00",8200000.0,-2.37%,FPT
9/17/2025,"105,500.00","104,000.00","107,800.00","104,000.00",20020000.0,1.93%,FPT
9/16/2025,"103,500.00","102,700.00","104,800.00","102,000.00",17530000.0,1.57%,FPT
9/15/2025,"101,900.00","101,900.00","103,500.00","101,500.00",14120000.0,0.30%,FPT
9/12/2025,"101,600.00","102,000.00","102,900.00","101,100.00",7450000.0,-0.39%,FPT
9/11/2025,"102,000.00","101,200.00","102,900.00","100,500.00",7410000.0,0.79%,FPT
9/10/2025,"101,200.00","102,100.00","102,900.00","101,100.00",5500000.0,-0.88%,FPT
9/9/2025,"102,100.00","102,000.00","103,000.00","101,000.00",6460000.0,0.20%,FPT
9/8/2025,"101,900.00","103,000.00","103,900.00","101,900.00",10600000.0,-1.45%,FPT
9/5/2025,"103,400.00","105,200.00","105,500.00","103,400.00",8810000.0,-1.52%,FPT
9/4/2025,"105,000.00","103,300.00","105,500.00","103,200.00",11030000.0,1.74%,FPT
9/3/2025,"103,200.00","102,000.00","103,300.00","100,000.00",9740000.0,1.57%,FPT
8/29/2025,"101,600.00","105,000.00","105,000.00","101,600.00",11090000.0,-2.78%,FPT
8/28/2025,"104,500.00","105,100.00","105,100.00","102,800.00",6280000.0,-0.48%,FPT
8/27/2025,"105,000.00","101,400.00","105,100.00","101,200.00",19440000.0,5.00%,FPT
8/26/2025,"100,000.00","98,800.00","100,000.00","97,900.00",5810000.0,1.21%,FPT
8/25/2025,"98,800.00","102,000.00","102,000.00","98,800.00",6740000.0,-0.20%,FPT
8/22/2025,"99,000.00","101,600.00","101,600.00","98,800.00",7210000.0,-2.65%,FPT
8/21/2025,"101,700.00","97,700.00","102,900.00","97,700.00",12620000.0,4.09%,FPT
8/20/2025,"97,700.00","100,100.00","100,300.00","97,500.00",19970000.0,-2.59%,FPT
8/19/2025,"100,300.00","100,600.00","101,500.00","100,000.00",9150000.0,-0.20%,FPT
8/18/2025,"100,500.00","101,400.00","103,000.00","100,000.00",11390000.0,-0.89%,FPT
8/15/2025,"101,400.00","103,800.00","104,800.00","101,300.00",18620000.0,-2.31%,FPT
8/14/2025,"103,800.00","105,800.00","105,800.00","103,700.00",17910000.0,-1.24%,FPT
8/13/2025,"105,100.00","107,600.00","107,800.00","104,900.00",21850000.0,-2.23%,FPT
8/12/2025,"107,500.00","107,400.00","108,200.00","106,600.00",11010000.0,1.03%,FPT
8/11/2025,"106,400.00","105,900.00","109,500.00","105,300.00",10280000.0,0.76%,FPT
8/8/2025,"105,600.00","106,500.00","107,400.00","104,800.00",9180000.0,-0.56%,FPT
8/7/2025,"106,200.00","105,600.00","107,400.00","104,900.00",9570000.0,1.24%,FPT
8/6/2025,"104,900.00","106,000.00","106,200.00","104,500.00",11810000.0,-0.85%,FPT
8/5/2025,"105,800.00","107,000.00","108,700.00","105,000.00",11400000.0,-0.75%,FPT
8/4/2025,"106,600.00","106,500.00","106,600.00","104,800.00",4620000.0,-0.37%,FPT
8/1/2025,"107,000.00","103,700.00","107,400.00","101,500.00",10890000.0,2.88%,FPT
7/31/2025,"104,000.00","106,100.00","106,900.00","103,800.00",8940000.0,-1.98%,FPT
7/30/2025,"106,100.00","107,000.00","108,000.00","105,300.00",7490000.0,0.09%,FPT
7/29/2025,"106,000.00","111,300.00","111,600.00","106,000.00",16060000.0,-4.76%,FPT
7/28/2025,"111,300.00","110,800.00","111,600.00","110,500.00",7610000.0,0.54%,FPT
7/25/2025,"110,700.00","111,100.00","111,500.00","110,500.00",5140000.0,-0.36%,FPT
7/24/2025,"111,100.00","112,000.00","112,100.00","110,800.00",6420000.0,-0.63%,FPT
7/23/2025,"111,800.00","112,300.00","112,800.00","111,300.00",4800000.0,-0.27%,FPT
7/22/2025,"112,100.00","110,300.00","112,200.00","108,700.00",6890000.0,1.63%,FPT
7/21/2025,"110,300.00","112,400.00","112,400.00","110,300.00",7560000.0,0.67%,FPT
7/18/2025,"109,565.20","111,304.30","111,304.30","109,565.20",7470000.0,-0.79%,FPT
7/17/2025,"110,434.80","110,173.90","112,260.80","109,565.20",9580000.0,0.55%,FPT
7/16/2025,"109,826.10","110,173.90","110,434.80","108,782.60",5820000.0,0.24%,FPT
7/15/2025,"109,565.20","110,086.90","111,130.40","109,565.20",6440000.0,-0.87%,FPT
7/14/2025,"110,521.70","110,608.70","111,217.40","108,695.60",6880000.0,0.39%,FPT
7/11/2025,"110,086.90","108,695.60","111,304.30","108,347.80",12350000.0,2.18%,FPT
7/10/2025,"107,739.10","107,652.10","108,956.50","107,391.30",5960000.0,0.90%,FPT
7/9/2025,"106,782.60","108,521.70","108,608.70","106,347.80",14030000.0,-1.37%,FPT
7/8/2025,"108,260.80","107,913.00","109,304.30","107,826.10",9270000.0,0.57%,FPT
7/7/2025,"107,652.10","107,217.40","108,434.80","106,956.50",7340000.0,1.06%,FPT
7/4/2025,"106,521.70","103,043.50","107,304.30","102,956.50",14750000.0,3.81%,FPT
7/3/2025,"102,608.70","103,043.50","104,173.90","102,434.80",7250000.0,-0.51%,FPT
7/2/2025,"103,130.40","103,043.50","103,217.40","102,260.80",4210000.0,-0.17%,FPT
7/1/2025,"103,304.30","103,478.20","103,913.00","102,782.60",5300000.0,0.51%,FPT
