Date,Price,Open,High,Low,Vol.,Change %,Ticker,WCP,WAP,VWAP,ZLMA,FWMA,Decay,SMA,Bollinger_Upper,Bollinger_Lower,Avg_Gain,Avg_Loss,RSI,MACD,MACD_Signal,MACD_Hist
2016-01-04,8910.9,9022.8,9041.4,8910.9,2430000.0,-0.0104,FPT,8943.525,8954.4,,8910.9,,,,,,,,,0.0,0.0,0.0
2016-01-05,8910.9,8910.9,8948.2,8892.3,2960000.0,0.0,FPT,8915.575,8917.133333333333,,8910.9,,,,,,,,,0.0,0.0,0.0
2016-01-06,8929.6,8910.9,8966.8,8910.9,1800000.0,0.0021,FPT,8934.224999999999,8935.766666666665,,8914.292290249434,,,,,,,,,1.491737891736193,0.29834757834723863,1.1933903133889543
2016-01-07,8761.8,8929.6,8929.6,8761.8,7440000.0,-0.0187999999999999,FPT,8803.75,8817.733333333334,,8886.768135190585,,,,,,,,,-10.742276442562797,-1.9097772258347685,-8.83249921672803
2016-01-08,8631.3,8724.5,8743.1,8575.4,7160000.0,-0.0149,FPT,8645.275,8649.933333333332,,8839.430056920728,,,,,,,,,-30.61516771368042,-7.6508553234039,-22.964312390276522
2016-01-11,8556.7,8631.3,8631.3,8556.7,3250000.0,-0.0086,FPT,8575.35,8581.566666666668,,8785.258704351338,,,,,,,,,-51.787203123090876,-16.478124883341295,-35.30907823974958
2016-01-12,8743.1,8575.4,8743.1,8519.4,2350000.0,0.0218,FPT,8687.175,8668.533333333333,,8772.65531864849,,,,,,,,,-52.915296926779774,-23.765559292028993,-29.14973763475078
2016-01-13,8649.9,8761.8,8817.7,8631.3,2190000.0,-0.0107,FPT,8687.2,8699.633333333333,,8745.163156486764,,,,,,,,,-60.6308656114179,-31.138620555906776,-29.492245055511127
2016-01-14,8612.6,8594.0,8649.9,8575.4,2060000.0,-0.0043,FPT,8612.625,8612.633333333333,,8715.027729805743,,,,,,,,,-68.96037537161465,-38.702971519048354,-30.25740385256629
2016-01-15,8594.0,8612.6,8668.6,8575.4,2400000.0,-0.0022,FPT,8608.0,8612.666666666666,,8686.055847830525,,,,,,,,,-76.1842320171072,-46.19922361866013,-29.98500839844708
2016-01-18,8370.3,8519.4,8519.4,8258.4,9110000.0,-0.026,FPT,8379.599999999999,8382.699999999999,,8620.92416351221,,,,,,,,,-98.82076663090265,-56.723532221108634,-42.09723440979402
2016-01-19,8407.6,8370.3,8444.9,8333.0,3530000.0,0.0045,FPT,8398.275000000001,8395.166666666666,,8572.100955591666,,,,,,,,,-112.45428216443543,-67.869682209774,-44.58459995466143
2016-01-20,8370.3,8407.6,8482.2,8370.3,2630000.0,-0.0044,FPT,8398.275,8407.6,,8523.876053365628,,,,,,,,,-124.82977972302251,-79.2617017124237,-45.56807801059881
2016-01-21,8370.3,8351.7,8407.6,8314.4,2620000.0,0.0,FPT,8365.65,8364.1,,8483.006452646665,,,,,,10.813866613075085,35.803974902096606,23.196841084020875,-133.10312077635535,-90.02998552521004,-43.07313525114532
2016-01-22,8351.7,8388.9,8407.6,8258.4,2800000.0,-0.0022,FPT,8342.35,8339.233333333334,,8445.15440804319,,,,,,10.041447569284008,34.57511955194674,22.506096316195055,-139.55199914262448,-99.93438824869294,-39.61761089393154
2016-01-25,8780.4,8482.2,8780.4,8388.9,3600000.0,0.0513,FPT,8682.525,8649.9,,8491.089995947892,,,,,,39.945629885763644,32.10546815537912,55.440695522716126,-108.81591240232046,-101.71069307941845,-7.105219322902016
2016-01-26,8556.7,8668.6,8687.2,8556.7,2670000.0,-0.0255,FPT,8589.325,8600.2,,8490.736225539287,,,,,,37.0923706082091,45.79079185856625,44.75260053340507,-101.33987962969331,-101.63653038947342,0.2966507597801069
2016-01-27,8631.3,8668.6,8668.6,8612.6,1360000.0,0.0087,FPT,8635.95,8637.5,,8504.57782186658,,,,,,39.77148699333692,42.520021011525806,48.3300014273487,-88.3767214217387,-98.98456859592649,10.607847174187796
2016-01-28,8575.4,8631.3,8649.9,8538.1,1980000.0,-0.0065,FPT,8584.7,8587.800000000001,,8506.917288956573,,,,,,36.93066649381286,43.4757337964168,45.93000850742025,-81.67251802323699,-95.52215848138859,13.849640458151597
2016-01-29,8649.9,8631.3,8668.6,8556.7,2010000.0,0.0087,FPT,8631.275000000001,8625.066666666668,8606.903280582768,8522.9682605295,8605.04568040655,8576.52349433669,8618.235,8986.145316732072,8250.324683267929,39.614190315683366,40.370324239529886,49.52732480277506,-69.5461761238621,-90.32696200988329,20.780785886021192
2016-02-01,8687.2,8668.6,8743.1,8575.4,2360000.0,0.0043,FPT,8673.225,8668.566666666668,8596.358750754376,8544.025239431334,8636.420045172219,8575.768387774422,8607.05,8950.270595014495,8263.829404985503,39.44889100742034,37.48672965099204,51.27519693715095,-56.27743331239799,-83.51705627038623,27.239622957988246
2016-02-02,8612.6,8631.3,8705.9,8612.6,743830.0,-0.0086,FPT,8635.925,8643.699999999999,8582.08737604875,8549.028115680398,8627.316730660645,8567.023756555222,8592.135,8904.278228089453,8279.991771910547,36.63111307831889,40.137677533064064,47.716152340802125,-51.19135352207741,-77.05191572072448,25.860562198647074
2016-02-03,8687.2,8649.9,8743.1,8612.6,2590000.0,0.0087,FPT,8682.525000000001,8680.966666666667,8576.21994523685,8567.232936231849,8650.18274421231,8569.079388155773,8580.015000000001,8853.405203305016,8306.624796694987,39.34317642986757,37.27070056641663,51.35254600387307,-40.672158774423224,-69.77596433146422,29.103805557041
2016-02-04,8668.6,8743.1,8743.1,8668.6,1140000.0,-0.0021,FPT,8687.225,8693.433333333334,8547.814692412094,8579.849281978213,8657.215330321853,8557.3652567401,8575.355,8838.690954928099,8312.0190450719,36.532949542019885,35.9370790973869,50.41111508841669,-33.4508847268371,-62.5109484105388,29.0600636837017
2016-02-05,8743.1,8705.9,8761.8,8668.6,1470000.0,0.0086,FPT,8729.150000000001,8724.5,8538.896646427876,8604.496682627929,8690.020225861097,8560.017781246876,8580.945,8853.85379505991,8308.03620494009,39.24488171758989,33.37014487614498,54.04512476068678,-21.468964778137888,-54.30255168405863,32.83358690592074
2016-02-15,8705.9,8705.9,8724.5,8631.3,1380000.0,-0.0043,FPT,8691.9,8687.233333333332,8540.191451351402,8619.18177311327,8696.091479390174,8566.849583038156,8588.404999999999,8866.628367099169,8310.181632900829,36.44167588061919,33.64370595642039,51.996115203242056,-14.804281459037156,-46.40289763905434,31.59861618001718
2016-02-16,8817.7,8761.8,8855.0,8705.9,1400000.0,0.0128,FPT,8799.075,8792.866666666667,8541.233375576303,8652.270640625187,8742.543382269905,8573.818098791995,8592.135,8880.891515715959,8303.378484284041,41.8244133177179,31.240584102390365,57.24274932528414,-0.49543519525104784,-37.221405150293684,36.725969955042636
2016-02-17,8855.0,8855.0,8985.5,8855.0,2910000.0,0.0042,FPT,8887.625,8898.5,8554.879902435783,8687.623925453534,8785.500446075665,8599.305763613158,8602.39,8913.488041070486,8291.291958929512,41.50124093788085,29.009113809362482,58.85836355050161,13.696343902533044,-27.03785533972834,40.73419924226138
2016-02-18,8966.8,8892.3,9004.1,8873.6,2980000.0,0.0126,FPT,8952.825,8948.166666666666,8575.254214667655,8738.363245456298,8854.760728402032,8634.874291216553,8620.1,8971.377961614146,8268.822038385855,46.52258087088931,26.937034251550877,63.33082577869068,33.57769397740776,-14.914745476301118,48.49243945370888
2016-02-19,8892.3,8948.2,8948.2,8873.6,2140000.0,-0.0083,FPT,8901.6,8904.7,8587.218008414904,8768.455403141497,8869.10164313947,8654.237015302937,8635.015000000001,9006.383582833536,8263.646417166467,43.1995393801115,30.334388947868675,58.74776496018339,42.82857857763702,-3.3660806655134916,46.19465924315051
